   DEPT        IK            KS        KV            RS        SP
   1598.50     235.028       2.652     209.775       3.972     -62.735
   1598.00     223.013       2.652     209.775       3.972     -62.735
   1597.50     204.579       2.652     209.775       3.972     -62.735
   1597.00     204.368       2.652     209.775       3.972     -62.735
   1596.50     218.576       2.652     209.775       3.972     -62.735
   1596.00     233.903       2.652     209.775       3.972     -62.735
   1595.50     243.722       2.652     209.775       3.972     -62.735
   1595.00     252.018       2.652     209.775       3.972     -62.735
   1594.50     255.989       2.652     209.775       3.972     -62.735
   1594.00     256.512       2.652     209.775       3.972     -62.735
   1593.50     256.480       2.652     209.775       3.972     -62.735
   1593.00     256.310       2.652     209.775       3.972     -62.735
   1592.50     256.517       2.652     209.775       4.143     -56.789
   1592.00     254.378       2.652     209.775       4.407     -59.797
   1591.50     249.608       2.652     209.775       4.116     -47.741
   1591.00     245.236       2.652     209.775       3.856     -58.799
   1590.50     258.125       2.652     209.775       4.142     -59.997
   1590.00     257.532       2.652     209.775       4.388     -59.629
   1589.50     253.303       2.652     209.775       4.597     -52.315
   1589.00     246.193       2.652     209.775       4.600     -48.618
   1588.50     238.077       2.652     209.775       4.423     -51.440
   1588.00     229.961       2.652     209.775       4.246     -50.749
   1587.50     230.894       2.652     209.775       4.196     -60.063
   1587.00     233.556       2.652     209.775       4.629     -55.684
   1586.50     236.218       2.652     209.775       4.614     -48.404
   1586.00     236.899       2.652     209.775       4.348     -56.055
   1585.50     231.054       2.652     209.775       4.364     -57.806
   1585.00     221.824       2.652     209.775       4.791     -44.519
   1584.50     224.752       2.652     209.775       4.891     -50.413
   1584.00     222.458       2.652     209.775       4.605     -52.557
   1583.50     219.532       2.652     209.775       4.880     -55.469
   1583.00     215.284       2.652     209.775       4.732     -39.944
   1582.50     208.049       2.652     209.775       4.261     -52.309
   1582.00     198.682       2.652     210.136       5.327     -36.251
   1581.50     189.315       2.652     206.721       5.018     -33.382
   1581.00     192.832       2.652     204.880       4.740     -32.880
   1580.50     215.392       2.652     204.340       4.578     -41.848
   1580.00     230.872       2.652     205.478       4.542     -49.029
   1579.50     224.947       2.652     205.890       4.584     -51.655
   1579.00     219.022       2.652     204.670       4.693     -51.913
   1578.50     210.611       2.652     204.421       4.759     -46.392
   1578.00     200.272       2.652     202.887       4.675     -41.095
