   DEPT        IK            RR        DS            RS        SP
   1624.37     244.897       1.978     205.907       8.141     -46.660
   1624.17     244.945       1.978     208.812       8.146     -46.775
   1623.97     244.994       1.978     210.295       8.151     -44.683
   1623.77     245.043       1.979     208.884       8.506     -43.992
   1623.57     241.468       1.979     207.474       8.751     -38.787
   1623.37     237.124       1.979     207.503       8.301     -30.674
   1623.17     232.779       1.979     210.819       7.680     -26.607
   1622.97     226.086       1.979     214.134       7.850     -28.547
   1622.77     218.782       1.979     214.914       8.219     -39.269
   1622.57     211.478       1.979     214.332       8.588     -43.213
   1622.37     214.673       1.979     212.216       8.742     -43.940
   1622.17     218.171       1.980     211.723       8.896     -44.757
   1621.97     223.447       1.980     213.301       9.316     -47.751
   1621.77     230.187       1.980     213.400       9.735     -51.608
   1621.57     236.927       1.980     211.876      10.154     -55.295
   1621.37     243.667       1.980     210.714       9.375     -58.100
   1621.17     250.407       1.980     209.751       8.767     -59.286
   1620.97     246.090       1.980     210.508       9.159     -58.650
   1620.77     240.182       1.980     211.295      10.120     -45.953
   1620.57     226.455       1.981     212.378      11.566     -39.668
   1620.37     210.249       1.981     213.460      15.032     -39.913
   1620.17     190.259       1.981     212.384      27.724     -38.682
   1619.97     168.798       1.981     211.980      42.981     -30.077
   1619.77     148.017       1.981     215.044      69.935     -15.282
   1619.57     136.969       1.981     218.714      79.479     -13.840
   1619.37     125.920       1.981     219.546      85.733     -13.742
   1619.17     109.349       1.981     218.792      90.380     -13.706
   1618.97      90.046       1.982     219.306      88.350     -15.335
   1618.77      73.367       1.982     228.909      78.267     -17.123
   1618.57      82.344       1.982     228.038      58.133     -18.910
   1618.37      91.321       1.982     231.607      37.053     -20.210
   1618.17     107.922       1.982     233.659      20.184     -21.170
   1617.97     131.610       1.982     229.151      18.274     -23.047
   1617.77     151.954       1.982     224.643      16.365     -35.177
   1617.57     169.840       1.983     220.136      14.455     -43.427
   1617.37     185.856       1.983     216.052      12.546     -51.677
   1617.17     200.887       1.983     213.963      10.636     -55.147
   1616.97     215.176       1.983     213.910       9.186     -51.283
   1616.77     229.436       1.983     214.883       8.254     -43.182
   1616.57     237.081       1.983     217.290       7.795     -42.443
   1616.37     244.725       1.983     217.496       7.969     -45.355
   1616.17     252.370       1.983     216.954       8.222     -48.388
   1615.97     257.468       1.984     218.116       8.524     -51.421
   1615.77     257.517       1.984     218.241       8.752     -52.735
   1615.57     257.565       1.984     216.416       8.767     -52.220
   1615.37     257.614       1.984     214.591       8.677     -54.110
   1615.17     257.663       1.984     213.366       8.473     -56.000
   1614.97     257.711       1.984     213.033       8.269     -57.550
   1614.77     257.760       1.984     212.698       8.132     -54.681
   1614.57     257.809       1.984     214.001       8.097     -51.160
   1614.37     255.827       1.985     213.564       8.140     -46.621
   1614.17     251.894       1.985     212.206       8.201     -47.084
   1613.97     247.960       1.985     210.848       8.308     -49.531
   1613.77     241.330       1.985     211.044       8.478     -48.207
   1613.57     232.536       1.985     211.287       8.694     -46.883
   1613.37     223.169       1.985     214.625       8.988     -47.586
   1613.17     205.968       1.985     214.956      12.753     -43.838
   1612.97     188.768       1.985     215.821      15.477     -44.919
   1612.77     172.790       1.986     213.134      17.693     -45.537
   1612.57     159.869       1.986     210.437      17.930     -46.514
   1612.37     146.948       1.986     213.303      16.936     -48.859
   1612.17     145.339       1.986     216.602      14.760     -50.265
   1611.97     159.309       1.986     218.141      13.301     -52.134
   1611.77     173.280       1.986     215.121      11.923     -53.650
   1611.57     187.496       1.986     212.183      10.545     -52.070
   1611.37     202.351       1.986     210.644       9.159     -48.974
   1611.17     228.484       1.987     210.904       8.985     -45.472
   1610.97     241.017       1.987     211.240       9.367     -46.258
   1610.77     250.985       1.987     212.403       9.442     -48.604
   1610.57     260.180       1.987     211.318       8.919     -48.409
   1610.37     263.982       1.987     210.195       8.429     -45.641
   1610.17     267.784       1.987     210.638       7.938     -44.437
   1609.97     271.585       1.987     210.199       8.545     -48.339
   1609.77     272.966       1.988     210.427       9.083     -52.032
   1609.57     270.893       1.988     211.574       8.836     -47.197
   1609.37     268.819       1.988     209.039       8.531     -43.462
   1609.17     266.746       1.988     209.435       8.130     -43.786
   1608.97     264.673       1.988     209.622       7.659     -43.990
   1608.77     262.600       1.988     208.955       7.475     -42.674
   1608.57     259.252       1.988     209.101       7.341     -37.521
   1608.37     254.962       1.988     208.871       7.231     -33.904
   1608.17     250.671       1.989     210.006       7.356     -33.730
   1607.97     246.381       1.989     211.403       7.524     -33.919
   1607.77     245.372       1.989     213.230       7.762     -38.516
   1607.57     245.634       1.989     210.324       8.158     -43.548
   1607.37     245.895       1.989     211.781       8.736     -42.677
   1607.17     244.792       1.989     213.238       8.789     -47.899
   1606.97     243.372       1.989     212.306       8.749     -50.280
   1606.77     241.953       1.989     210.573       8.603     -45.314
   1606.57     237.896       1.990     213.019       8.257     -38.398
   1606.38     232.405       1.990     211.201       7.708     -36.669
   1606.18     226.915       1.990     213.739       7.261     -33.546
   1605.97     223.241       1.990     216.521       7.124     -34.036
   1605.78     227.739       1.990     217.190       7.019     -35.455
   1605.57     232.237       1.990     214.785       7.071     -33.526
   1605.38     236.735       1.990     213.939       7.010     -32.636
   1605.18     241.233       1.990     213.984       6.850     -35.337
   1604.97     245.731       1.991     211.017       6.691     -34.987
   1604.78     250.229       1.991     213.598       6.571     -39.640
   1604.57     253.703       1.991     218.662       6.684     -38.716
   1604.38     256.154       1.991     215.252       6.884     -44.303
   1604.18     258.606       1.991     213.354       7.114     -43.669
   1603.97     259.526       1.991     211.728       7.307     -46.164
   1603.78     256.490       1.991     209.960       7.196     -42.794
   1603.57     252.835       1.991     211.136       7.051     -38.150
   1603.38     246.177       1.992     210.992       6.899     -37.689
   1603.18     242.064       1.992     210.740       6.748     -34.568
   1602.97     238.757       1.992     210.666       6.724     -34.787
   1602.78     236.594       1.992     210.505       6.788     -36.497
   1602.57     234.430       1.992     214.298       6.851     -37.838
   1602.38     232.267       1.992     220.410       6.915     -37.371
   1602.18     230.104       1.992     218.538       7.384     -35.750
   1601.98     227.911       1.992     215.905       7.390     -35.275
   1601.78     225.157       1.993     212.322       7.302     -24.459
   1601.58     222.403       1.993     212.675       7.208     -24.596
   1601.38     219.649       1.993     212.293       7.107     -27.461
   1601.18     216.894       1.993     209.473       7.041     -26.697
