Depth     DS        PS        IK        BK        PZ
2404.00   24.9630   84.0237   195.8532  4.6385    5.8181
2404.20   25.0953   87.4516   201.3420  3.8834    5.6052
2404.40   26.6673   89.7408   203.2038  3.7715    6.9465
2404.60   27.9027   91.2306   200.7133  3.3753    6.2979
2404.80   25.1498   91.7757   192.5890  3.4302    5.5367
2405.00   25.0370   91.6061   188.0191  4.1018    6.5573
2405.20   25.0389   91.3396   194.4750  6.2679    6.8780
2405.40   25.0623   91.6182   194.8135  4.7565    5.3359
2405.60   25.0292   90.9157   190.4129  4.0227    5.7080
2405.80   24.9241   90.5281   190.7997  5.1269    7.2378
2406.00   24.8521   90.5281   186.6167  4.4998    6.8315
2406.20   24.7588   90.3343   185.5528  4.5798    6.9661
2406.40   24.6342   89.1352   186.6167  5.3789    7.0836
2406.60   24.5681   88.7476   186.0606  5.2180    7.6686
2406.80   24.4805   87.6938   178.6859  4.3833    8.0259
2407.00   24.4591   85.3198   172.9312  5.0110    7.2353
2407.20   24.7179   84.4961   174.9380  6.1584    7.1742
2407.40   24.8969   85.4409   182.0226  11.1147   7.6221
2407.60   24.9669   85.9375   185.1176  5.1907    7.3039
2407.80   25.0331   85.9012   183.0623  4.5439    6.7629
2408.00   25.0506   86.7127   186.0606  4.5695    6.6283
2408.20   25.0584   88.4811   209.6113  5.4052    6.2881
2408.40   25.1206   90.3706   245.3243  5.2790    6.0629
2408.60   25.2996   91.7757   216.5024  4.2906    5.6835
2408.80   25.1459   92.4661   206.5889  3.7828    5.8230
2409.00   25.0525   92.5509   205.3557  3.5108    5.8646
2409.20   25.0331   91.2670   212.6337  3.5572    6.3958
2409.40   24.9903   89.5470   250.9823  3.9509    6.2245
2409.60   24.8658   88.0814   226.6094  4.0636    5.8377
2409.80   24.6790   87.2214   193.8705  4.1358    6.1731
2410.00   24.4630   86.8823   194.4992  4.7370    6.6503
2410.20   24.5642   86.2403   191.8878  4.4645    7.1203
2410.40   24.8074   81.9889   184.7307  3.8529    7.7616
2410.60   24.5097   68.1686   176.9207  3.7028    8.6672
2410.80   23.6868   57.1100   171.5529  4.6143    13.1049
2411.00   22.9903   45.6153   176.2437  10.4167   15.3910
2411.20   22.9689   37.9360   179.7014  10.7379   16.3285
2411.40   23.0409   37.6332   181.3214  11.9532   15.2123
2411.60   23.1693   43.0354   183.3766  12.3773   11.8517
2411.80   23.8054   59.9201   186.4958  10.8512   9.6683
2412.00   24.4436   70.3246   187.7773  6.8067    8.4323
2412.20   24.9319   76.5141   182.4578  4.9866    7.7029
2412.40   25.0156   80.5475   176.8724  4.3767    6.9710
2412.60   24.8599   82.2190   174.0192  4.4595    7.1472
2412.80   24.4066   81.8677   173.3422  5.5886    6.6014
2413.00   24.2957   81.6134   173.6807  6.3174    6.6381
2413.20   24.7335   85.2108   173.4631  5.9518    6.5965
2413.40   24.9825   86.3372   171.2628  5.1596    6.5549
2413.60   25.0525   87.5000   169.5944  5.0943    6.7140
2413.80   24.9961   88.3721   169.1833  5.1058    6.4374
2414.00   24.9981   88.6265   174.3819  5.0809    6.4643
2414.20   25.0272   89.2684   179.3629  4.9493    6.4325
2414.40   25.0428   89.7166   172.6652  4.9290    6.4912
2414.60   25.0584   89.8498   169.0141  5.0695    6.6479
2414.80   25.0584   90.1526   167.4182  5.0905    6.7115
2415.00   25.0311   90.9036   167.9986  5.0981    6.6626
2415.20   25.0195   91.4486   167.7568  5.1134    6.4178
2415.40   25.1012   91.8968   167.5391  5.1538    6.2661
2415.60   25.1712   92.3450   167.9986  5.0962    6.3199
2415.80   25.2062   92.7810   169.8120  4.8611    7.2353
2416.00   25.2218   92.9748   174.6721  4.4628    6.9832
2416.20   25.1907   91.9089   181.4423  4.1983    6.6969
2416.40   25.0136   87.0397   178.3957  4.2906    6.6406
2416.60   24.5798   79.7359   170.5857  5.2810    6.9930
2416.80   24.2374   78.2461   170.1989  6.3913    7.1693
2417.00   24.3969   77.4588   172.5201  5.2573    7.1252
2417.20   24.4494   75.2059   173.5356  5.0657    7.6710
2417.40   24.3210   67.5630   171.6255  4.7387    8.3099
2417.60   23.7899   54.7602   167.9018  6.5538    9.3061
2417.80   22.9261   54.7844   166.2818  8.8992    10.3708
2418.00   23.0447   58.1880   165.5564  8.2193    11.8737
2418.20   23.5253   50.2786   161.9053  5.6159    13.3350
2418.40   23.6634   43.3261   158.2301  6.5366    15.2099
2418.60   23.5837   38.5901   154.7724  9.1255    17.5425
2418.80   23.7529   35.8043   151.6533  10.2463   18.0663
2419.00   23.8424   33.1153   150.2267  11.2869   18.3968
2419.20   23.6848   31.7951   148.6550  11.6961   18.5143
2419.40   23.5175   31.4196   147.0108  11.7400   19.0968
2419.60   23.4864   31.5891   144.8830  11.4875   19.5668
2419.80   23.5798   32.7398   142.7069  11.2488   19.3049
2420.00   23.7510   33.5998   142.6102  11.2488   19.3709
2420.20   23.7996   33.6846   142.0540  11.5653   19.2192
2420.40   23.8424   33.3697   140.8209  11.7576   18.9769
2420.60   23.8210   32.6914   139.9988  11.7841   18.9377
2420.80   23.7802   31.8435   139.4668  11.6742   18.9867
2421.00   23.6751   31.1410   139.7328  11.6479   18.7762
2421.20   23.4008   30.9351   140.1197  11.6044   18.5240
2421.40   23.0370   30.9956   141.3045  11.4918   18.3772
2421.60   22.8794   31.0441   143.3114  11.4231   18.0541
2421.80   22.7743   31.5649   145.0765  11.4746   17.9513
2422.00   22.5370   32.3401   146.2613  11.5653   18.3625
2422.20   22.5837   32.6429   147.2768  11.5696   18.3503
2422.40   22.7588   32.7883   148.4858  11.5134   19.2608
2422.60   22.9825   32.9700   149.6947  11.4961   19.0160
2422.80   23.2549   32.7156   147.5911  11.5306   18.6758
2423.00   23.3463   31.9404   147.1801  11.6698   18.4751
2423.20   23.4086   31.2863   147.1801  11.9129   18.4139
2423.40   23.5506   31.8314   147.3251  12.2756   18.2719
2423.60   23.7432   34.3992   148.0989  12.1748   17.4324
2423.80   23.9008   37.0155   150.2992  12.2297   15.7631
2424.00   23.9630   40.7340   155.8363  12.2710   11.6510
2424.20   23.9805   51.7078   165.6290  11.7664   8.6158
2424.40   24.3074   68.8711   175.4700  9.2738    6.7507
2424.60   24.9280   81.3590   184.4164  5.2849    5.9748
2424.80   25.7451   85.2350   189.2039  3.7602    5.3776
2425.00   26.1926   87.4758   194.1123  3.6164    5.0422
2425.20   26.1926   89.1957   198.2953  3.6028    5.2503
2425.40   26.0837   90.1042   198.0294  3.6724    5.3531
2425.60   26.1304   90.5766   196.3610  3.9082    5.3873
2425.80   26.1926   91.0005   196.0467  4.0972    5.4290
2426.00   26.1946   91.3154   195.5147  4.2331    5.5367
2426.20   26.2335   91.7999   193.2902  4.2729    5.7667
2426.40   26.2646   92.0179   190.4129  4.2761    5.6884
2426.60   26.2043   90.9884   188.1642  4.4212    6.1608
2426.80   25.7646   87.8755   186.1089  4.7780    6.4545
2427.00   25.9416   84.7263   184.1020  5.0544    6.2710
2427.20   25.3988   81.3832   183.7877  4.9142    6.6479
2427.40   25.0467   78.7064   183.6668  5.6306    6.9000
2427.60   25.7140   77.6526   180.8620  4.9754    6.4203
2427.80   24.5058   82.2069   182.3369  5.9074    6.2293
2428.00   24.5661   85.1139   185.1901  6.0034    6.5745
2428.20   25.1226   87.1003   186.0847  4.3783    6.2367
2428.40   25.3658   88.5174   184.5614  4.7104    5.6909
2428.60   25.2607   90.7703   181.1763  4.2874    6.2098
2428.80   25.1907   90.2859   175.5425  3.8921    6.8584
2429.00   25.3210   87.1245   170.1747  4.2665    6.4178
2429.20   24.3599   81.3711   170.9968  6.0850    6.7752
2429.40   24.4844   83.2485   174.9622  6.8734    7.3357
2429.60   25.1401   84.8595   171.9640  5.3227    7.5144
2429.80   25.6342   80.9109   167.6842  5.3227    7.6980
2430.00   25.7938   78.9850   163.3561  5.5116    7.8522
2430.20   25.6673   74.5397   158.6653  5.4930    8.3539
2430.40   25.0058   67.6599   155.8363  6.6628    8.7725
