Depth     GZ4       GZ3       GZ2       GZ1       IK        DS        BK        GZK3      PS        PZ        NKT       GK
2428.00   3.4921    6.4508    3.6685    5.5394    237.4769  22.9208   3.8220    3.8066    91.9233   5.1856    2.3417    6.5935
2428.20   3.6125    5.7146    3.6933    5.3478    234.7665  23.8958   3.6143    3.6015    91.9110   4.9332    2.4878    6.9278
2428.40   3.7058    5.8131    3.6017    5.7410    231.1938  21.1734   3.6330    4.0264    91.8744   4.8021    2.5301    6.6623
2428.60   3.8163    6.3794    3.5869    5.6033    231.4895  21.5459   3.9179    4.6075    91.8622   4.8021    2.6303    6.4017
2428.80   3.8949    6.6084    3.7749    6.2767    239.5713  21.4581   4.1863    4.5391    91.9844   4.8194    2.4602    6.0386
2429.00   3.9563    6.2563    4.2251    5.9130    246.1501  22.7550   3.7023    4.2412    92.0455   4.7600    2.1621    5.9805
2429.20   3.9735    5.7245    3.9134    5.6156    252.6056  23.0417   3.2998    4.1485    91.9110   4.5992    1.9668    5.8799
2429.40   3.9465    5.2936    4.0099    6.2055    259.2830  27.5661   3.4637    3.9018    91.7889   4.3765    1.9531    6.2435
2429.60   3.9145    5.0375    4.5442    5.4239    265.7878  26.2497   3.1787    3.3866    91.6422   4.0401    1.8655    6.3226
2429.80   3.8703    4.8135    4.2177    4.6572    272.5638  27.1468   2.9783    3.4526    91.3368   3.9659    1.8535    6.4217
2430.00   3.8040    4.4737    3.4508    3.6127    278.3048  25.2454   2.9204    3.5380    90.9946   3.8496    1.8336    5.6701
2430.20   3.7181    4.4417    3.3989    3.1826    284.0951  26.6222   3.0769    3.4892    90.7991   3.6714    1.8825    5.8424
2430.40   3.5707    4.3777    3.6487    2.9688    289.2694  27.6383   2.9367    3.1107    90.9213   3.5675    1.7058    6.0078
2430.60   3.4430    4.1364    3.3370    2.6444    293.8770  28.8162   2.7586    3.0936    91.2023   3.7704    1.6217    5.5139
2430.80   3.4430    3.8803    2.9511    2.3470    295.8236  29.1458   2.7091    3.0179    91.4345   3.9040    1.6720    5.6393
2431.00   3.5388    3.8631    2.7928    2.2413    288.4317  24.9177   2.7853    3.0009    91.6911   4.0228    1.7582    5.6901
2431.20   3.7672    4.0330    2.9685    2.3470    280.6456  25.8421   2.9161    3.3012    91.8255   3.9189    1.7956    5.8960
